-- START OF LOG --/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/26  08:53:59] (#shermanbot): !purge
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:11:07] (#shermanbot): !purge
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:11:29] (#shermanbot): !config
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:11:31] (#shermanbot): <@349728538439450625>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:12:48] (#shermanbot): !config
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:12:51] (#shermanbot): <@349728538439450625>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:14:06] (#shermanbot): !config
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:14:08] (#shermanbot): <@349728538439450625>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:15:01] (#shermanbot): !config
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:15:03] (#shermanbot): <@349728538439450625>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:20:24] (#shermanbot): !config
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:20:27] (#shermanbot): <@349728538439450625>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:20:34] (#shermanbot): <@&471445047041327135>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:24:53] (#shermanbot): !config
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:25:08] (#shermanbot): <@349728538439450625>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:25:16] (#shermanbot): <@&471445047041327135>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:26:12] (#shermanbot): <#608697651545899077>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:26:34] (#shermanbot): !config
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:26:38] (#shermanbot): <@349728538439450625>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:26:41] (#shermanbot): <@&471445047041327135>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:27:37] (#shermanbot): !conig
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:27:40] (#shermanbot): !config
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:27:43] (#shermanbot): <@349728538439450625>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:27:45] (#shermanbot): <@&471445047041327135>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:38:26] (#shermanbot): !config
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:38:29] (#shermanbot): <@349728538439450625>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:38:32] (#shermanbot): <@&471445047041327135>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:38:37] (#shermanbot): <#471444855206445057>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:38:45] (#shermanbot): <#604912256865665024>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:39:24] (#shermanbot): !config
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:39:28] (#shermanbot): <@349728538439450625>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:39:33] (#shermanbot): <@&471445047041327135>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:39:38] (#shermanbot): <#471444855206445057>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  01:39:58] (#shermanbot): <#604912256865665024>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  02:11:53] (#shermanbot): !purge
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  02:14:17] (#shermanbot): !purge
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  02:16:11] (#shermanbot): !purge
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  02:16:17] (#shermanbot): !config
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  02:18:37] (#shermanbot): !purge
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  02:18:39] (#shermanbot): !conig
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  02:18:41] (#shermanbot): !config
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  02:18:48] (#shermanbot): <@349728538439450625>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  02:18:51] (#shermanbot): <@&471445047041327135>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  02:18:55] (#shermanbot): <#471444855206445057>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  02:19:05] (#shermanbot): <#604912256865665024>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  02:19:10] (#shermanbot): !purge
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  02:58:37] (#shermanbot): !help
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:02:26] (#shermanbot): !help
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:03:18] (#shermanbot): !help
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:05:04] (#shermanbot): !help
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:05:55] (#shermanbot): !reload help
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:06:00] (#shermanbot): !help
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:06:19] (#shermanbot): !help
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:08:16] (#shermanbot): !help
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:14:40] (#shermanbot): !help
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:19:34] (#shermanbot): !help
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:20:00] (#shermanbot): !help
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:20:49] (#shermanbot): !help
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:21:12] (#shermanbot): !help
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:21:27] (#shermanbot): !help
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:21:33] (#shermanbot): !sats
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:21:36] (#shermanbot): !stats
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:34:46] (#shermanbot): !stats
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:36:07] (#shermanbot): !stats
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:37:50] (#shermanbot): !stats
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:37:53] (#shermanbot): !config
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:37:57] (#shermanbot): <@349728538439450625>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:39:16] (#shermanbot): !stats
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:39:18] (#shermanbot): !config
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:39:21] (#shermanbot): <@349728538439450625>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:39:24] (#shermanbot): <@&471445047041327135>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:39:28] (#shermanbot): <#471444855206445057>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:40:06] (#shermanbot): fuck you
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:45:26] (#shermanbot): !purge
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:45:28] (#shermanbot): !config
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:45:32] (#shermanbot): <@349728538439450625>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:45:40] (#shermanbot): <@&471445047041327135>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:45:53] (#shermanbot): <#471444855206445057>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:46:03] (#shermanbot): <#604912256865665024>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:49:30] (#shermanbot): !purge
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:49:35] (#shermanbot): !config
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:49:38] (#shermanbot): <@349728538439450625>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:49:42] (#shermanbot): <@&471445047041327135>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:49:50] (#shermanbot): <#471444855206445057>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:49:56] (#shermanbot): <#604912256865665024>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:50:01] (#shermanbot): !purge
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:50:09] (#shermanbot): !purge
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:50:13] (#shermanbot): !purge
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:52:14] (#shermanbot): !config
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:52:17] (#shermanbot): <@349728538439450625>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:52:24] (#shermanbot): <@&471445047041327135>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:52:32] (#shermanbot): <#471444855206445057>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:52:36] (#shermanbot): <#604912256865665024>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:53:04] (#shermanbot): !purge
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:53:06] (#shermanbot): clear
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:53:09] (#shermanbot): !purge
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:53:11] (#shermanbot): !stats
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:53:48] (#shermanbot): !users
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:53:55] (#shermanbot): !user shermanzero
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:57:37] (#shermanbot): !user sherman
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:57:50] (#shermanbot): !user shermanzero
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  03:59:20] (#shermanbot): !user sherman
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:00:10] (#shermanbot): !user sherman
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:01:07] (#shermanbot): !user sherman
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:03:14] (#shermanbot): !user sherman
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:04:03] (#shermanbot): !user sherman
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:06:29] (#shermanbot): !user sherman
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:07:20] (#shermanbot): !user sherman
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:08:48] (#shermanbot): !user sherman
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:09:36] (#shermanbot): !user sherman
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:12:22] (#shermanbot): !user sherman
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:14:07] (#shermanbot): !user sherman
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:16:10] (#shermanbot): !conig
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:16:12] (#shermanbot): !config
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:16:15] (#shermanbot): <@349728538439450625>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:16:18] (#shermanbot): <@&471445047041327135>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:16:22] (#shermanbot): <#471444855206445057>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:16:26] (#shermanbot): <#604912256865665024>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:16:29] (#shermanbot): !user sherman
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:16:46] (#shermanbot): !user shermanzero_1200
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:17:01] (#shermanbot): !user <@349728538439450625>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:17:15] (#shermanbot): !users
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:17:22] (#shermanbot): !user shermanzero_1200
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:19:21] (#shermanbot): !user sherman
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:22:11] (#shermanbot): !user sherman
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:22:42] (#shermanbot): !user <@349728538439450625>
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:23:10] (#shermanbot): !user sher
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:23:14] (#shermanbot): !purge
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:23:19] (#shermanbot): !user sherman
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:29:59] (#shermanbot): !user sherman
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:30:17] (#shermanbot): !user s
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:30:20] (#shermanbot): clear
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:30:22] (#shermanbot): !purge
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:30:30] (#shermanbot): !purge
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:30:37] (#shermanbot): !users
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:30:47] (#shermanbot): !user shermanzero_1200
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:33:04] (#shermanbot): !user shermanzero_1200
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:33:15] (#shermanbot): !user shermanzero
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:33:19] (#shermanbot): !user shermanzero_1201
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:33:24] (#shermanbot): !user shermanzero_12
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:33:29] (#shermanbot): 1purge
/The_SherZer_Server-(471444438216867840)/>  shermanzero_1200 [11/27  04:33:32] (#shermanbot): !purge
